       132/3660      , 0.00067501, 0.00038815, 3.5909e-05,    -1.6084,  -0.015659
       133/3660      , 0.00067501, 0.00038703, -5.4413e-05,    -1.6081,  -0.015749
       134/3660      , 0.00067501, 0.00038764, -4.4188e-05,    -1.6077,  -0.015734
       135/3660      , 0.00067501, 0.00038753,  -9.16e-05,    -1.6075,  -0.015779
       136/3660      , 0.00067501, 0.00038924, -3.7259e-05,     -1.607,  -0.015718
       137/3660      , 0.00067501,  0.0003882, -0.00021868,     -1.607,    -0.0159
       138/3660      , 0.00067387, 0.00038746,  5.598e-05,    -1.6078,  -0.015634
       139/3660      , 0.00067387, 0.00038668, 2.8046e-05,     -1.608,  -0.015665
       140/3660      , 0.00067387, 0.00038704, -9.958e-05,    -1.6078,   -0.01579
       141/3660      , 0.00067387,   0.000388, -8.2646e-05,    -1.6077,  -0.015772
       142/3660      , 0.00067387, 0.00038763, -6.0504e-05,    -1.6073,  -0.015746
       143/3660      , 0.00067387, 0.00038721, -4.2575e-05,    -1.6072,  -0.015728
       144/3660      , 0.00067273,   0.001626, -0.00014967,    -1.6072,  -0.014596
       145/3660      , 0.00067273,  0.0010863, -6.1263e-05,    -1.6078,  -0.015053
       146/3660      , 0.00067273,  0.0010463, 1.3923e-05,    -1.6073,  -0.015012
       147/3660      , 0.00067273,   0.001018, -0.00016206,    -1.6069,  -0.015213
       148/3660      , 0.00067273,  0.0010129, 1.2894e-05,    -1.6063,  -0.015037
       149/3660      , 0.00067273,  0.0010143, -0.00024437,    -1.6057,  -0.015288
       150/3660      ,  0.0006716,  0.0020786, -0.00020342,    -1.6074,  -0.014199
       151/3660      ,  0.0006716,  0.0017098, 0.00011397,    -1.6078,  -0.014254
       152/3660      ,  0.0006716,   0.001295, -9.9674e-05,    -1.6077,  -0.014881
       153/3660      ,  0.0006716,  0.0012976, 0.00014443,    -1.6075,  -0.014633
       154/3660      ,  0.0006716,  0.0012393, -6.274e-05,     -1.607,  -0.014894
       155/3660      ,  0.0006716,  0.0012185, -0.00014352,     -1.607,  -0.014995
       156/3660      , 0.00067046,   0.015256, -0.0013292,    -1.6068, -0.0021416
       157/3660      , 0.00067046,  0.0038394, 0.00032741,    -1.6077,  -0.011911
       158/3660      , 0.00067046,  0.0034067, -0.00044756,    -1.6079,  -0.013119
       159/3660      , 0.00067046,  0.0031658, 0.00021914,    -1.6076,  -0.012691
       160/3660      , 0.00067046,  0.0032821, -0.00027357,    -1.6079,  -0.013071
       161/3660      , 0.00067046,  0.0026395, 0.00010542,    -1.6079,  -0.013334
       162/3660      , 0.00066933, 0.00038662, -2.199e-05,    -1.6087,  -0.015723
       163/3660      , 0.00066933, 0.00038661, -2.0846e-05,    -1.6087,  -0.015721
       164/3660      , 0.00066933, 0.00038891, -7.5031e-05,    -1.6085,  -0.015771
       165/3660      , 0.00066933, 0.00038745, -0.00012144,    -1.6084,  -0.015818
       166/3660      , 0.00066933, 0.00038581, -7.5472e-05,    -1.6082,  -0.015772
       167/3660      , 0.00066933, 0.00038636, -9.7832e-05,    -1.6081,  -0.015792
       168/3660      , 0.00066819, 0.00038625, 3.5599e-05,    -1.6085,  -0.015663
       169/3660      , 0.00066819, 0.00038584, -0.0001193,    -1.6086,   -0.01582
       170/3660      , 0.00066819, 0.00038633, -2.7286e-05,    -1.6082,  -0.015723
       171/3660      , 0.00066819, 0.00039143, -3.7429e-05,    -1.6082,  -0.015728
       172/3660      , 0.00066819, 0.00038698, -6.4133e-05,    -1.6079,  -0.015756
       173/3660      , 0.00066819, 0.00038807, -5.9354e-05,    -1.6079,   -0.01575
       174/3660      , 0.00066705,  0.0024242, -3.1096e-05,    -1.6082,  -0.013689
       175/3660      , 0.00066705,  0.0022467, -4.1494e-05,    -1.6084,  -0.013879
       176/3660      , 0.00066705,  0.0021105, -0.00021146,    -1.6082,  -0.014183
       177/3660      , 0.00066705,  0.0020092, 0.00017453,     -1.608,  -0.013896
       178/3660      , 0.00066705,  0.0020556, -0.00021975,    -1.6077,  -0.014242
       179/3660      , 0.00066705,  0.0020134, -8.996e-05,    -1.6075,  -0.014151
       180/3660      , 0.00066592,  0.0065612,  0.0011594,    -1.6074, -0.0083537
       181/3660      , 0.00066592,  0.0056748, 0.00011382,    -1.6077,  -0.010288
       182/3660      , 0.00066592,  0.0049435, 0.00091549,    -1.6074,  -0.010215
       183/3660      , 0.00066592,  0.0043651, 0.00075565,    -1.6071,   -0.01095
       184/3660      , 0.00066592,  0.0039078, 0.00037921,     -1.607,  -0.011783
       185/3660      , 0.00066592,  0.0034397, 0.00081184,     -1.607,  -0.011819
       186/3660      , 0.00066478,     0.0459,  0.0040519,    -1.6035,   0.033917
       187/3660      , 0.00066478,   0.036984,  0.0022172,    -1.6033,   0.023168
       188/3660      , 0.00066478,   0.035268,  0.0036473,    -1.6028,   0.022888
       189/3660      , 0.00066478,   0.033849,  0.0017785,    -1.6028,     0.0196
       190/3660      , 0.00066478,    0.03319,  0.0031664,    -1.6008,   0.020348
       191/3660      , 0.00066478,    0.03184,  0.0012512,    -1.6012,   0.017079
       192/3660      , 0.00066365,   0.016581, -0.00025401,    -1.6021, 0.00030582
       193/3660      , 0.00066365,   0.014642,    0.00172,    -1.6027,  0.0003349
       194/3660      , 0.00066365,    0.01384,  0.0015925,    -1.6026, -0.0005933
